name,name_alt,latitude,longitude,altitude,serial_number,watershed
station_01,Station 1,39.1016073,-96.595585,336,z6-12555,AL
station_02,Station 2,39.096921,-96.589913,340,z6-12548,N1A
station_03,Station 3,39.0883712,-96.5835133,370,z6-12556,N4D
station_04,Station 4,39.0850146,-96.5718286,412,z6-12533,N1B
station_05,Station 5,39.0824648,-96.5650263,437,z6-12551,N20B
station_06,Station 6,39.0867287,-96.5544627,442,z6-12552,K1B
station_07,Station 7,39.0927665,-96.5740359,408,z6-12553,K1B
station_08,Station 8,39.0964761,-96.5569449,414,z6-12558,K1B
station_09,Station 9,39.1002081,-96.5624272,415,z6-12557,K2A
station_10,Station 10,39.1021481,-96.5790203,359,z6-12559,K1A
station_11,Station 11,39.1068007,-96.5711297,413,z6-12546,K20A
station_12,Station 12,39.1100191,-96.589511,397,z6-12544,K1A
station_13,Station 13,39.0777066,-96.5771592,430,z6-12560,N1B
station_14,Station 14,39.077435,-96.589381,434,z6-12547,N4D
station_15,Station 15,39.081019,-96.597796,430,z6-12554,N2B
station_16,Station 16,39.090205,-96.5952546,404,z6-12550,N1A